date,supermarket,category,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-04-04,Aldi,fresh_food,2.3197885196374624,2.3975869966966203,2.2297173504632553,2.5654566429299854
2024-04-05,Aldi,fresh_food,2.332769416014449,2.3975869966966203,2.2257003234574926,2.569473669935748
2024-04-06,Aldi,fresh_food,2.3244418052256535,2.3975869966966203,2.2217750552708058,2.573398938122435
2024-04-07,Aldi,fresh_food,2.324024970273484,2.3975869966966203,2.2179355311901747,2.577238462203066
2024-04-08,Aldi,fresh_food,2.3213139120095128,2.3975869966966203,2.214176366226865,2.5809976271663757
2024-04-09,Aldi,fresh_food,2.3216894705532423,2.3975869966966203,2.21049271650609,2.5846812768871508
2024-04-10,Aldi,fresh_food,2.2364264619019494,2.3975869966966203,2.2068802060710313,2.5882937873222094
2024-04-11,Aldi,fresh_food,2.2601719901719903,2.3975869966966203,2.203334865945342,2.5918391274478987
2024-04-12,Aldi,fresh_food,2.479425925925926,2.3975869966966203,2.19985308303457,2.5953209103586707
2024-04-13,Aldi,fresh_food,2.2326557773744704,2.3975869966966203,2.1964315569918718,2.598742436401369
2024-03-25,ASDA,food_cupboard,2.276647853600137,2.116855366862719,1.9757092578531097,2.2580014758723284
2024-03-26,ASDA,food_cupboard,2.067659010600707,2.13813173744974,1.9940981250553405,2.2821653498441394
2024-03-27,ASDA,food_cupboard,2.138092712966131,2.1216916179946548,1.9759612799168758,2.267421956072434
2024-03-28,ASDA,food_cupboard,2.2468747940691927,2.134394796226676,1.9876607721180137,2.281128820335338
2024-03-29,ASDA,food_cupboard,2.0675492568268234,2.124579129276362,1.9772491086093167,2.271909149943407
2024-03-30,ASDA,food_cupboard,2.2738145061181063,2.1321636341868437,1.9844789170944568,2.279848351279231
2024-03-31,ASDA,food_cupboard,2.1704722314599265,2.1263031343320393,1.9784070492845776,2.274199219379501
2024-04-01,ASDA,food_cupboard,2.063810338925026,2.1308315061840633,1.9828093665937585,2.278853645774368
2024-04-02,ASDA,food_cupboard,2.080366144414169,2.1273324613690736,1.979235111349465,2.275429811388682
2024-04-03,ASDA,food_cupboard,2.025414918840051,2.1300361515732766,1.9818939149431556,2.278178388203398
2024-04-04,ASDA,food_cupboard,2.080777230432403,2.127947026938751,1.9797779969852611,2.276116056892241
2024-04-05,ASDA,food_cupboard,2.21171075530804,2.1295612805732085,1.9813762558230985,2.2777463053233187
2024-04-06,ASDA,food_cupboard,2.068614877244412,2.1283139568121965,1.9801193831007282,2.2765085305236648
2024-04-07,ASDA,food_cupboard,2.0552068599717113,2.1292777561381357,1.9810774814582433,2.2774780308180285
2024-04-08,ASDA,food_cupboard,2.05654162200786,2.1285330343828734,1.9803293560118698,2.276736712753877
