date,supermarket,brand_type,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-04-07,ASDA,Own Brand: True,4.29888554594459,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-08,ASDA,Own Brand: True,4.273650314465408,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-09,ASDA,Own Brand: True,4.271963723390855,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-10,ASDA,Own Brand: True,4.28385068270074,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-11,ASDA,Own Brand: True,4.273359511343805,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-12,ASDA,Own Brand: True,4.267246594175727,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-13,ASDA,Own Brand: True,4.260457434874735,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-29,Morrisons,Own Brand: False,4.924044559295991,4.983477605457886,4.460285274130396,5.506669936785376
2024-03-30,Morrisons,Own Brand: False,4.920379180075556,4.983477605457886,4.44734017543567,5.519615035480102
2024-03-31,Morrisons,Own Brand: False,4.928944347217361,4.983477605457886,4.434700353577162,5.532254857338611
2024-04-01,Morrisons,Own Brand: False,4.893662482566248,4.983477605457886,4.422345178581046,5.5446100323347265
2024-04-02,Morrisons,Own Brand: False,4.901870122630992,4.983477605457886,4.410256244373335,5.556698966542437
2024-04-03,Morrisons,Own Brand: False,4.968873061539541,4.983477605457886,4.398417046955983,5.568538163959789
2024-04-04,Morrisons,Own Brand: False,4.958052524114624,4.983477605457886,4.386812720094677,5.580142490821095
2024-04-05,Morrisons,Own Brand: False,4.950019708594354,4.983477605457886,4.375429816434339,5.591525394481433
2024-04-06,Morrisons,Own Brand: False,4.951968897333051,4.983477605457886,4.364256124849084,5.602699086066688
2024-04-07,Morrisons,Own Brand: False,4.96073788468341,4.983477605457886,4.353280516954385,5.6136746939613875
2024-04-08,Morrisons,Own Brand: False,4.950121038270482,4.983477605457886,4.342492817284858,5.624462393630915
2024-04-09,Morrisons,Own Brand: False,4.946287952987268,4.983477605457886,4.33188369282506,5.6350715180907125
2024-04-10,Morrisons,Own Brand: False,3.894069547254261,4.983477605457886,4.321444558479801,5.645510652435972
2024-04-11,Morrisons,Own Brand: False,4.953967975279163,4.983477605457886,4.311167495759973,5.6557877151558
2024-04-12,Morrisons,Own Brand: False,4.933680770312061,4.983477605457886,4.301045182493565,5.665910028422207
2024-04-13,Morrisons,Own Brand: False,4.965084745762711,4.983477605457886,4.291070831788039,5.675884379127734
2024-03-29,Morrisons,Own Brand: True,2.6841551459293393,2.7868674026528373,2.182331328093804,3.3914034772118704
2024-03-30,Morrisons,Own Brand: True,2.666834403080873,2.8397695326977606,2.0661567967658017,3.6133822686297195
2024-03-31,Morrisons,Own Brand: True,2.6891252231573577,2.8681177969151213,2.000713066395951,3.7355225274342914
2024-04-01,Morrisons,Own Brand: True,2.6888031576266873,2.9004202740355494,1.9740432746170795,3.8267972734540194
2024-04-02,Morrisons,Own Brand: True,2.683385204081633,2.921263601246502,1.9547965933529992,3.887730609140005
2024-04-03,Morrisons,Own Brand: True,2.71127588851956,2.9783886995698743,1.9829197918721042,3.9738576072676444
2024-04-04,Morrisons,Own Brand: True,2.7056016385048642,3.1113548437736482,2.093742814950335,4.128966872596962
2024-04-05,Morrisons,Own Brand: True,2.71570220399795,3.1424661457339402,2.0522270719709566,4.232705219496924
2024-04-06,Morrisons,Own Brand: True,2.7081725888324875,3.1655507988412395,2.0247762911921785,4.306325306490301
2024-04-07,Morrisons,Own Brand: True,2.7048178343949045,3.18267966120015,2.0044793003867447,4.360880022013555
2024-04-08,Morrisons,Own Brand: True,2.6908008161183368,3.1953893139875134,1.9879636420638458,4.402814985911181
2024-04-09,Morrisons,Own Brand: True,2.6978591477417706,3.2048199037482688,1.9735043226261717,4.436135484870366
2024-04-10,Morrisons,Own Brand: True,2.5515686274509806,3.2118174216760673,1.9601943164536213,4.463440526898514
2024-04-11,Morrisons,Own Brand: True,2.7039139344262293,3.217009595059923,1.9475484014631426,4.486470788656703
